clinic_name,address,phone,serving,Street Address,City,State,Zip Code
Betania Mazon Gonzalez,"Alvaro Obregon #747 Esquina 8a, Zona Centro, Ensenada, BC 22800",+52 5515025277,"Women, Men",Alvaro Obregon #747 Esquina 8a  Zona Centro, Ensenada,BC,22800
HORMOCLINIC,"Calle Citadela Nº 5902 Edificio 11 Distrito 1, Col. Saucito, Chihuahua, CH 31110",(614) 390 0018,"Women, Men",Calle Citadela Nº 5902 Edificio 11 Distrito 1  Col. Saucito, Chihuahua,CH,31110
Dr. Daniel Mondlak,"BLVD MAGNOCENTRO  5, HUIXQUILUCAN, DF, DF 52783",55 50180503,"Women, Men",BLVD MAGNOCENTRO  5  HUIXQUILUCAN, DF,DF,52783
Dra Zoraida Rebeca Mena,"Centro Medico Siglo 21 Calle Duarte 25, San Francisco Macoris, San Francisco de Macoris, DU 31000",809-772-3503,"Women, Men",Centro Medico Siglo 21 Calle Duarte 25  San Francisco Macoris, San Francisco de Macoris,DU,31000
Dra Jennifer Reyes,"Centro Médico Siglo 21, Calle Duarte 25, San Francisco de Macoris, DU 31000",(829) 642-1564,"Women, Men",Centro Médico Siglo 21  Calle Duarte 25, San Francisco de Macoris,DU,31000
Doctora Maria Eréndira  Ortiz Ruiz,"Carlos Graef Fernández No.154 Consultorio 330 Torre de Ginecología, Santa Fé, Cuajimalpa, EM 05300",16647241,"Women, Men",Carlos Graef Fernández No.154 Consultorio 330 Torre de Ginecología  Santa Fé, Cuajimalpa,EM,5300
Clinica de Ozonoterapia,"Jaime Nunó 310 B colonia Periodistas, Pachuca, HG, HG 42060",52 1771 7192018,"Men, Women",Jaime Nunó 310 B colonia Periodistas  Pachuca, HG,HG,42060
Dr Jose Julian Flores,"CIPLA, Pedro H. Urena 137, Santo Domingo, SD 10108",(809) 331-5050,"Women, Men",CIPLA  Pedro H. Urena 137, Santo Domingo,SD,10108
Dr Rafael Alberto Draper,"Hospiten Ave Alma Mater, esquina Bolivar, Santa Domingo, SD 10108",(809) 541-3000,"Women, Men",Hospiten Ave Alma Mater  esquina Bolivar, Santa Domingo,SD,10108
Dra Juana M. Sepulveda,"Clinica Abreu calle Arzobispo Portes 853, Gascue, Santo Domingo, SD 10208",(809) 689-2432,"Women, Men",Clinica Abreu calle Arzobispo Portes 853  Gascue, Santo Domingo,SD,10208
MDS Lab & Imaging S.C. - Dr. Michael Laux,"Blvd. Manlio Fabio Beltrones, Ranchito Campestre, San Carlos, SO 85506",622 2262060,"Women, Men",Blvd. Manlio Fabio Beltrones  Ranchito Campestre, San Carlos,SO,85506
Luis Reyes Cruz,"Autopista Duarte Km. 2.8 Tramo Santiago La Vega,, Santiago de los Caballeros, ST 51000",1-809-967-6327,"Women, Men",Autopista Duarte Km. 2.8 Tramo Santiago La Vega , Santiago de los Caballeros,ST,51000
Dr. Efrain Martinez Jr.,"Baja California 3401-201, Jardin, Nuevo Laredo, TM 88260",86 7719 2820,"Women, Men",Baja California 3401-201  Jardin, Nuevo Laredo,TM,88260
Viz Bo Med Spa / Acumedicalazer,"Centro Comercial Plaza Renacimiento Suite #18, Ciudad Juarez, CH 32300",(915) 731-1163,,Centro Comercial Plaza Renacimiento Suite #18, Ciudad Juarez,CH,32300
DMEDICAL,"Avenida Plutarco Elias Calles #1921 Col Jardines de San Jose, Chihuahua, CH 32390",+52 1 656 1994 557,"Men, Women",Avenida Plutarco Elias Calles #1921 Col Jardines de San Jose, Chihuahua,CH,32390
Ana Estrada,"Guerrero 790 Colonia Centro, Ciudad Acuña, CO 26200",(877) 1290103,Women,Guerrero 790 Colonia Centro, Ciudad Acuña,CO,26200
Corey T. Birch Medicine Professional Corporation,"460 Wellington St Unit 301, St. Thomas, ON N5R6H9",(519) 631-5670,,460 Wellington St Unit 301, St. Thomas,ON,N5R6H9
Dra. Mireya Puente Villalobos,"Constitucion 1881, Monterrey, NL 64060",+52 (811) 022-1190,"Women, Men",Constitucion 1881, Monterrey,NL,64060
Dr. Alicia Gutierrez,"Puerto Mazatlan 4401 Col Las Brisas, Monterrey, NL 64780",+52 8139558352,"Women, Men",Puerto Mazatlan 4401 Col Las Brisas, Monterrey,NL,64780
Dr. Humaira Ali MD,"202-175 Chancellor's Way, Guelph, ON N1G0E9",(519) 766-9559,,202-175 Chancellor's Way, Guelph,ON,N1G0E9
Fitter,"Av. Juarez 751 Oriente, Torreon, CO 27000",+52 (871) 204-2629,"Women, Men",Av. Juarez 751 Oriente, Torreon,CO,27000
Hemingway Medical Spa Inc,"128 160 Broadway Blvd, Sherwood Park, AB T8H2A3",(587) 521-0667,"Women, Men",128 160 Broadway Blvd, Sherwood Park,AB,T8H2A3
Bailey Health,"3477 Lakeshore Rd unit. 202, Kelowna, BC v1w0a7",(236) 766-2961,"Women, Men",3477 Lakeshore Rd unit. 202, Kelowna,BC,v1w0a7
Bariclip  MX,"Blvd Bernardo Quintana #4195 Alamos 3a, Santiago Queretaro, QT 76160",(555) 246-9747,"Men, Women",Blvd Bernardo Quintana #4195 Alamos 3a, Santiago Queretaro,QT,76160
Clinique Printemps - Dr. Eva Chadnova Inc,"5025 Sherbrooke West Office 425 B, Montreal, QC H4A1S9",514-419-2629,"Women, Men",5025 Sherbrooke West Office 425 B, Montreal,QC,H4A1S9
Steinberg Urology,"110 Rue du Lux Bureau 520, Brossard, QC J4Y0E2",(438) 801-5095,,110 Rue du Lux Bureau 520, Brossard,QC,J4Y0E2
Dra. Marisol Trujillo Santana,"Hospital Real San José de Valle Real Av Central Guillermo Gonzalez Camarena 911 poniente, Zapopan, JA 45136",52 3324128828,"Men, Women",Hospital Real San José de Valle Real Av Central Guillermo Gonzalez Camarena 911 poniente, Zapopan,JA,45136
Dra Marianne Reynaud Valenzuela,"Peña y Peña Oriente #612, Morelia, MI 58260",+ 52 4433391411,Men,Peña y Peña Oriente #612, Morelia,MI,58260
Dr. Bland Chamberlain,"Calle 20 Suite 281 X33 Y79 Colonia Montes de Ame, Merida, YU 97115",(713) 301-9330,"Women, Men",Calle 20 Suite 281 X33 Y79 Colonia Montes de Ame, Merida,YU,97115
Dr. Jaime Kleiman,"Av. Ejercito Nal. 617-305, Ciudad de Mexico, EM 11520",555-545-6870,"Men, Women",Av. Ejercito Nal. 617-305, Ciudad de Mexico,EM,11520
8 West Clinic,"300 -221 Esplanade West, North Vancouver, BC V7M-3J3",(604) 733-1669,,300 -221 Esplanade West, North Vancouver,BC,V7M-3J3
EnerChanges Clinic,"L6-601 West Broadway, Vancouver, BC V5Z4C2",604-565-8380,,L6-601 West Broadway, Vancouver,BC,V5Z4C2
Dr. Rene Gutiérrez Bastida,"AVE. HIDALGO 104 BIS, Apizaco, TL 90300",2416884027,"Women, Men",AVE. HIDALGO 104 BIS, Apizaco,TL,90300
8 West,"300 -1788 W. Broadway, Vancouver, BC V6J1Y!",(604) 733-1669,"Women, Men",300 -1788 W. Broadway, Vancouver,BC,V6J1Y!
Doctor Vicente Alarcon Acosta,"Vialidad de la Barranca  s/n cons 445, Hacienda de las Palmas, EM 52787",(555) 246-9747,"Women, Men",Vialidad de la Barranca  s/n cons 445, Hacienda de las Palmas,EM,52787
Dr. Jose Enrique Lara Oliver,"Puente de piedra # 150 Consultorio 204 Torre 2, Tlalpan, EM 14050",5.25526E+11,Women,Puente de piedra # 150 Consultorio 204 Torre 2, Tlalpan,EM,14050
Dra. Myrna Cesar Reyes,"Puente de piedra # 150 Colonia Toriello Guerra, Tlalpan, EM 14050",5.25526E+11,Women,Puente de piedra # 150 Colonia Toriello Guerra, Tlalpan,EM,14050
Pacifica MD,"2-177 Second Ave West, Qualicum Beach, BC V9K2N5",250-909-0190,"Women, Men",2-177 Second Ave West, Qualicum Beach,BC,V9K2N5
Altra Medic,"Calle Oso #25 Bulevar del Bosque, Tapachula, CS 30747",+502 2329 6363,"Women, Men",Calle Oso #25 Bulevar del Bosque, Tapachula,CS,30747
Dra Margarita Paulino,"HOMS Carr Duarte km. 2.8 oficina 829, Santiago de los Caballeros, ST 51000",(829) 947-2222,"Women, Men",HOMS Carr Duarte km. 2.8 oficina 829, Santiago de los Caballeros,ST,51000
Urus,"45 Av Rafael Augusto Sanchez, Santo Domingo, SD 10150",(809) 221-6568,Men,45 Av Rafael Augusto Sanchez, Santo Domingo,SD,10150
Dr Gabriel De Peña,"Hospiten Santo Domingo Ave Alma Mater & Ave Bolivia, Santo Domingo, SD 10108",(809) 763-2586,"Women, Men",Hospiten Santo Domingo Ave Alma Mater & Ave Bolivia, Santo Domingo,SD,10108
Luna Vital,"calle 13 14, Los Jardines Metropolitanos, AZ 51000",(809) 583-5667,"Women, Men",calle 13 14, Los Jardines Metropolitanos,AZ,51000
Dr Ramon Espinal Dilone,"Calle Pedro Bisono Toribio No.7, La Esmeralda, ST 51000",(809) 724-3232,,Calle Pedro Bisono Toribio No.7, La Esmeralda,ST,51000
