biote_clinic_name,biote_phone,biote_street,biote_city,biote_state,biote_zip,evexipel_practiceName,evexipel_phone,evexipel_street,evexipel_city,evexipel_stateCode,evexipel_zip,evexipel_id
Optima Medical Care,480-496-2696,8575 E. Princess Dr.  Suite 117,Scottsdale,AZ,85255,Ageless Beauty and Wellness,(520) 341-5928,"8575 E Princess Dr, STE",A-221 Scottsdale,AZ,85255,evx-0086
OnPoint Family Care DTC,303-694-5757,8200 E. Belleview Ave.  Suite 202C,Greenwood Village,CO,80111,The Colorado Center for Health,(303) 221-5400,8200 E Belleview Ave. Suite,Greenwood Village,CO,80111,evx-0326
Cosmetic Laser Professionals Med Spa,305-456-1170,8501 SW 124 Ave  Suite 212A,Miami,FL,33183,Complete Womens Care - Miami,(561) 717-7894,8501 Southwest 124th Avenue,Miami,FL,33183,evx-0563
Lindsay Aesthetics,813-920-8300,16541 Pointe Village Dr. 211,Lutz,FL,33558,FAMILY FIRST WELLNESS,(727) 746-5323,16541 Pointe Village Dr Ste 211,Lutz,FL,33558,evx-0550
The Aesthetics Lab,813-773-3661,4014 W. Estrella St  Suite A,Tampa,FL,33629,The Aesthetics Lab,(727) 756-8079,4014 W Estrella St Ste,Tampa,FL,33629,evx-0736
Urbaniak Plastic Surgery,727-447-4536,13201 Walsingham Rd  Ste 200,Largo,FL,33774,Optimize Integrative Health,(727) 312-0148,13201 Walsingham Rd Ste 101,Largo,FL,33774,evx-0541
"Hope in Health, LLC",(239) 414-6588,2301 Del Prado Blvd. South Unit 180  Suite 59,Cape Coral,FL,33990,K&M Aesthetics,(239) 323-6807,2301 Del Prado Blvd S Ste 180,Cape Coral,FL,33990,evx-0448
"Diane Brzezinski, DO, PA",239-261-9990,1250 Pine Ridge Road  Unit 101A,Naples,FL,34108,"Diane Brzezinski, DO",(239) 778-7899,1250 Pine Ridge Rd Ste,Naples,FL,34108,evx-0598
Roswell Pain Specialists,678-736-7680,1300 Upper Hembree Road Suite B  Building 100,Roswell,GA,30076,Providence Wellness Center,(470) 518-5721,1300 Upper Hembree Road Ste,Roswell,GA,30076,evx-0896
"Honolulu Pain Management Clinic, LLC.",808-528-3657,500 Ala Moana Blvd  Suite #1-302,Honolulu,HI,96813,Excel Dermatology of Hawaii,(808) 207-9979,"500 Ala Moana Blvd Building 4, Suite 470",Honolulu,HI,96813,evx-0934
Sohn Medical Center,847-843-9191,1700 W. Central Rd  Suite 140,Arlington Heights,IL,60005,Liposuction & Cosmetic Surgery Institute,(847) 499-1573,1700 W. Central Road,Arlington Heights,IL,60005,evx-0988
Meliora Integrative Medicine,(847) 440-4355,1740 Ridge Ave  Suite 120 Suite 120,Evanston,IL,60201,Meliora Integrative Medicine,(708) 498-7641,1740 Ridge Ave Ste 120,Evanston,IL,60201,evx-1034
Future Hope Total Health,502-633-6411,231 Midland Park  Suite 101,Shelbyville,KY,40065,Future Hope Total Health,(502) 842-4077,231 Midland Park Ste 101,Shelbyville,KY,40065,evx-1184
Grand Pearl Spa- A Division of Plastic Surgery Associates,616-451-4500,220 Lyon St. NW  Suite 700,Grand Rapids,MI,49503,Grand Pearl Spa,(269) 301-1357,220 Lyon Street Northwest Suite 700 Suite 700,Grand Rapids,MI,49503,evx-1322
Urban Medspa and Weight Loss Center,(704) 971-9191,8535 Cliff Cameron Drive  STE 116,Charlotte,NC,28269,Urban Med Spa,(980) 247-4325,8535 Cliff Cameron Dr. Suite 116,Charlotte,NC,28269,evx-1434
"Wellness in the Lehigh Valley, LLC",610-821-2820,1275 S. Cedar Crest Blvd.  Suite 5,Allentown,PA,18103,Wellness In The Lehigh Valley Llc,(267) 377-4502,1275 S Cedar Crest Blvd Ste 5,Allentown,PA,18103,evx-1833
Advanced Hormone Management,972-276-9902,3201 E. President George Bush Turnpike  Suite 107,Richardson,TX,75082,Advanced Hormone Management,(972) 787-2270,3201 E President George Bush Hwy Ste 107,Richardson,TX,75082,evx-2497
OB/GYN North Dallas,972-981-7777,6124 West Parker Road  Suite 134,Plano,TX,75093,Northlake Obstetrics & Gynecology Plano,(817) 796-9043,6124 West Parker Road Bldg. 3-Suite 136,Plano,TX,75093,evx-2480
"SSN Legacy Health, PLLC.",281-206-8070,2222 Greenhouse Rd.  Suite 200,Houston,TX,77084,Kristin Schmidt MD & Aesthetics,(832) 702-3828,2222 Greenhouse Rd Ste 2000,Houston,TX,77084-7855,evx-2275
